title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Duel at Diablo,movie,"Drama, Thriller, Western",1966.0,6.5,4421.0,"AD, AG, AR, BB, BM, BO, BS, CA, CL, CO, CR, DK, DO, EC, ES, FI, GF, GT, HK, HN, ID, IT, JM, LC, MT, MX, MY, NO, PA, PE, PH, PY, SE, SG, SM, SV, TC, TH, TR, TT, TW, UY, VA, VE"
The Virgin Suicides,movie,"Drama, Romance",1999.0,7.2,174921.0,"AD, ES, PT"
Immortality,movie,"Crime, Mystery, Romance",1998.0,6.2,6233.0,ES
Spy Game,movie,"Action, Crime, Thriller",2001.0,7.1,170649.0,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GB, GF, GG, GT, HN, JP, MC, MX, NI, PA, PE, PF, PY, SV, UY, VE"
Collateral,movie,"Action, Crime, Drama",2004.0,7.5,442641.0,"AD, AT, CU, DE, ES, IN, JP, SN"
Imagine Me & You,movie,"Comedy, Drama, Romance",2005.0,6.8,37085.0,ES
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002.0,7.3,43162.0,ES
Resident Evil,movie,"Action, Horror, Sci-Fi",2002.0,6.6,295402.0,"AD, ES, FR, GB, GF, GG, IE, MC, NL, NZ, PF"
Apocalypto,movie,"Action, Adventure, Drama",2006.0,7.8,338464.0,"CA, ES, GH, IN, KE, NG, NL, UG, US, ZA"
What's Eating Gilbert Grape,movie,Drama,1993.0,7.7,258886.0,"AD, AT, AU, CH, CM, DE, ES, FR, GB, GF, GG, IE, IT, MW, NL, PF"
Bring It On,movie,"Comedy, Romance, Sport",2000.0,6.1,108635.0,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GB, GG, GT, HN, IT, MX, NI, PA, PE, PY, SM, SV, UY, VA, VE"
Primal Fear,movie,"Crime, Drama, Mystery",1996.0,7.7,254048.0,"AD, ES, IN"
A Bronx Tale,movie,"Crime, Drama",1993.0,7.8,167998.0,"AT, AU, CH, DE, ES, GH, JP, KE, NG, NZ, UG, ZA"
Formula 51,movie,"Action, Comedy, Crime",2001.0,6.3,51480.0,"AR, BF, BO, BZ, CD, CL, CO, CR, DO, EC, ES, GF, GT, HN, MG, ML, NE, NI, PA, PE, PF, PY, SN, SV, US, UY, VE"
Liar Liar,movie,"Comedy, Fantasy",1997.0,6.9,341788.0,"AT, AU, CA, CI, DE, ES, GB, GG, GH, HK, ID, IE, KE, MY, MZ, NE, NG, PH, SG, TH, TW, UG, ZA, ZM"
Mississippi Burning,movie,"Crime, Drama, Mystery",1988.0,7.8,114604.0,"AD, AT, DE, DK, ES, FI, HK, ID, MY, NO, PH, SE, SG, TH, TW"
Crash,movie,"Crime, Drama, Thriller",2004.0,7.7,452630.0,ES
The Legend of Zorro,movie,"Action, Adventure, Romance",2005.0,6.0,109691.0,"AD, ES"
Day for Night,movie,"Comedy, Drama, Romance",1973.0,8.0,25281.0,ES
Iron Man,movie,"Action, Adventure, Sci-Fi",2008.0,7.9,1152268.0,"AD, ES"
Inland Empire,movie,"Drama, Fantasy, Mystery",2006.0,6.8,63960.0,"AD, AT, DE, ES, PT"
