title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Oldies But Goldies",movie,"Adventure, Comedy, Drama",2012,tt2559232,6.3,116,"CZ, SK"
"August: Osage County",movie,"Comedy, Drama",2013,tt1322269,7.2,96737,"CZ, HU, MD, RO, SK"
"Devil's Knot",movie,"Biography, Crime, Drama",2013,tt0804463,6.1,24429,"DK, FI, NO, SE"
"The Angry Birds Movie",movie,"Action, Adventure, Animation",2016,tt1985949,6.3,107939,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, RO, RS, SG, SI, SK, TH, TW"
"Bicycling with Molière",movie,"Comedy, Drama",2013,tt2207050,6.6,3193,"FR, MC"
Interstellar,movie,"Adventure, Drama, Sci-Fi",2014,tt0816692,8.7,2222426,"AD, AR, BA, BE, BG, BO, BR, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, HK, HN, HR, HU, ID, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TH, TW, UY, VE"
Transcendence,movie,"Drama, Sci-Fi, Thriller",2014,tt2209764,6.2,241183,PT
"Fruitvale Station",movie,"Biography, Crime, Drama",2013,tt2334649,7.5,86961,"DK, FI, NO, SE, US"
"On My Way",movie,"Comedy, Drama",2013,tt2289538,6.4,2634,"FR, MC"
"White Bird in a Blizzard",movie,"Drama, Mystery, Thriller",2014,tt2238050,6.4,30386,US
"Louder Than Bombs",movie,Drama,2015,tt2217859,6.6,14423,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A Most Wanted Man",movie,"Crime, Drama, Thriller",2014,tt1972571,6.7,81672,US
"The Call",movie,"Drama, Thriller",2013,tt1911644,6.7,131364,"CZ, HU, MD, RO, SK"
"The Purge",movie,"Horror, Sci-Fi, Thriller",2013,tt2184339,5.7,247794,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Miracle in Cell No. 7",movie,"Comedy, Drama",2013,tt2659414,8.1,24684,"HK, MY, PH, SG, TH"
"Life According to Sam",movie,"Biography, Documentary, Drama",2013,tt2558550,8.1,971,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Manhunt: The Inside Story of the Hunt for Bin Laden",movie,"Documentary, History, War",2013,tt2475544,6.7,1219,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Valentine Road",movie,"Crime, Documentary",2013,tt2577990,7,2006,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
Domestic,movie,"Comedy, Drama, Family",2012,tt2527190,6.6,594,"MD, RO"
"Ghost Team One",movie,"Comedy, Horror",2013,tt2272336,4.2,2440,"HK, MY, PH, SG, TW"
"Hank and Asha",movie,"Comedy, Romance",2013,tt2330270,6.6,477,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Hotel Transylvania 2",movie,"Adventure, Animation, Comedy",2015,tt2510894,6.6,148941,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Child's Pose",movie,Drama,2013,tt2187115,7.3,8967,"MD, RO"
"Night Train to Lisbon",movie,"Mystery, Romance, Thriller",2013,tt1654523,6.8,21118,PT
